,Customer_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
0,1000001,F,0-17,10,A,2,0
4,1000002,M,55+,16,C,4,0
5,1000003,M,26-35,15,A,3,0
6,1000004,M,46-50,7,B,2,1
9,1000005,M,26-35,20,A,1,1
14,1000006,F,51-55,9,A,1,0
18,1000007,M,36-45,1,B,1,1
19,1000008,M,26-35,12,C,4,1
25,1000009,M,26-35,17,C,0,0
29,1000010,F,36-45,1,B,4,1
47,1000011,F,26-35,1,C,1,0
50,1000012,M,26-35,12,C,2,0
52,1000013,M,46-50,1,C,3,1
55,1000014,M,36-45,0,C,0,0
56,1000015,M,26-35,7,A,1,0
65,1000016,F,36-45,0,C,0,1
67,1000017,M,51-55,1,C,0,0
70,1000018,F,18-25,3,B,3,0
85,1000019,M,0-17,10,A,3,0
97,1000021,M,18-25,16,B,0,0
98,1000022,M,18-25,15,A,4,0
112,1000023,M,36-45,0,B,3,1
124,1000024,F,26-35,7,A,3,1
127,1000025,M,18-25,4,C,4,0
130,1000026,M,26-35,7,B,2,1
142,1000027,M,26-35,11,C,1,1
147,1000028,F,26-35,1,C,2,1
152,1000029,M,36-45,7,C,1,0
156,1000030,F,36-45,7,C,3,0
159,1000031,M,55+,7,C,2,0
163,1000032,F,26-35,0,C,3,1
164,1000033,M,46-50,3,A,1,1
179,1000034,F,18-25,0,A,0,0
189,1000035,M,46-50,1,C,4,1
196,1000036,M,26-35,3,B,0,0
219,1000037,F,26-35,9,C,1,0
220,1000039,M,18-25,4,B,2,0
222,1000041,F,18-25,4,C,3,0
224,1000042,M,26-35,8,C,0,1
234,1000043,M,26-35,12,A,0,0
235,1000044,M,46-50,17,B,3,1
248,1000045,F,46-50,16,A,1,1
258,1000046,M,18-25,19,C,4,0
262,1000047,M,18-25,4,C,4,1
264,1000048,M,26-35,4,B,3,1
291,1000049,M,18-25,12,C,4,1
297,1000050,F,26-35,2,A,1,1
299,1000051,F,0-17,10,C,2,0
300,1000052,M,18-25,4,C,0,0
304,1000053,M,26-35,0,B,1,0
333,1000054,M,51-55,1,C,4,1
335,1000056,M,36-45,20,C,0,1
339,1000057,M,18-25,19,C,2,0
342,1000058,M,26-35,2,B,3,0
355,1000059,F,51-55,1,B,4,1
370,1000060,M,51-55,1,C,1,1
372,1000061,M,26-35,17,C,1,0
373,1000062,F,36-45,3,A,1,0
388,1000063,M,18-25,4,C,2,0
392,1000064,M,18-25,1,A,1,1
393,1000065,M,36-45,12,C,2,1
399,1000066,M,26-35,18,C,2,0
400,1000067,F,51-55,5,C,4,1
403,1000068,M,18-25,4,A,0,0
406,1000069,F,26-35,1,A,1,0
408,1000070,M,18-25,4,A,2,0
410,1000071,M,26-35,14,A,0,1
414,1000072,F,46-50,0,B,1,1
416,1000073,M,18-25,4,A,4,0
421,1000074,M,36-45,14,A,2,1
423,1000075,F,0-17,10,C,4,0
433,1000076,M,36-45,7,B,2,1
438,1000077,M,18-25,4,C,2,0
441,1000078,F,46-50,1,C,0,1
449,1000079,F,46-50,0,A,1,0
451,1000080,M,55+,1,C,3,1
454,1000081,F,26-35,0,A,1,1
455,1000082,M,26-35,17,C,2,1
457,1000083,F,26-35,2,C,1,0
462,1000084,M,18-25,4,C,1,0
466,1000085,M,18-25,4,C,1,0
467,1000086,F,0-17,10,C,3,0
469,1000087,M,26-35,14,C,2,0
472,1000088,F,46-50,1,C,1,1
475,1000089,F,55+,9,C,1,1
477,1000090,M,55+,13,C,1,0
491,1000091,M,36-45,7,C,3,1
495,1000092,F,18-25,4,B,1,0
510,1000093,M,26-35,17,B,1,1
526,1000094,M,26-35,17,C,1,0
527,1000095,M,46-50,0,C,4,1
529,1000096,F,26-35,16,C,2,1
531,1000097,F,36-45,3,C,3,0
539,1000099,F,0-17,10,C,1,0
544,1000100,M,36-45,17,C,4,0
547,1000101,F,18-25,3,A,1,0
551,1000102,M,36-45,19,C,3,0
558,1000103,M,46-50,7,B,2,1
562,1000105,M,46-50,12,C,1,1
566,1000106,F,36-45,11,C,4,0
569,1000107,M,46-50,18,C,4,0
575,1000108,M,26-35,12,C,3,0
576,1000109,M,46-50,15,C,1,1
579,1000110,M,26-35,2,B,4,0
580,1000111,M,36-45,15,C,3,0
582,1000112,M,26-35,16,C,3,1
583,1000113,M,18-25,12,C,2,0
585,1000114,F,26-35,2,C,0,0
587,1000116,M,26-35,17,C,2,1
589,1000117,M,26-35,17,A,2,1
605,1000118,M,36-45,17,C,4,0
617,1000119,F,0-17,10,C,1,0
622,1000120,M,26-35,11,C,0,0
623,1000121,M,36-45,7,C,2,0
625,1000122,F,18-25,4,C,1,0
626,1000123,M,36-45,9,B,4,1
645,1000124,M,55+,7,C,1,1
646,1000125,M,46-50,14,B,3,1
652,1000126,M,18-25,9,B,1,0
654,1000127,F,46-50,3,C,1,1
659,1000128,M,55+,6,A,1,1
660,1000129,M,26-35,11,C,2,0
665,1000130,M,36-45,17,B,3,1
676,1000131,M,18-25,4,C,4,0
686,1000132,M,26-35,17,C,1,0
691,1000133,F,26-35,0,C,1,1
696,1000134,M,26-35,0,C,3,1
700,1000135,M,18-25,4,C,1,1
703,1000136,M,18-25,2,B,3,0
717,1000137,F,46-50,6,C,4,1
726,1000138,M,18-25,20,C,1,1
729,1000139,F,26-35,20,C,2,0
743,1000140,F,36-45,1,B,3,0
745,1000142,M,26-35,7,A,2,0
750,1000143,M,18-25,3,C,0,0
753,1000145,M,18-25,4,C,4,0
757,1000146,F,36-45,20,B,3,1
781,1000147,M,18-25,4,B,4,0
788,1000148,M,51-55,17,B,3,1
808,1000149,M,26-35,1,B,2,1
830,1000150,M,36-45,7,B,0,1
840,1000151,F,26-35,20,A,1,1
864,1000152,M,18-25,4,A,3,0
865,1000153,M,0-17,10,C,0,0
868,1000154,M,51-55,20,A,4,1
872,1000155,M,36-45,12,C,4,1
879,1000156,F,46-50,7,C,4,1
882,1000157,M,36-45,16,A,1,0
893,1000158,M,55+,7,C,2,1
895,1000159,F,46-50,0,A,1,1
896,1000160,M,36-45,7,C,3,0
898,1000161,M,46-50,16,C,4,1
910,1000162,F,18-25,4,C,4,0
915,1000163,M,18-25,4,A,1,0
939,1000165,M,18-25,16,A,1,0
944,1000166,M,18-25,4,B,1,1
966,1000169,M,26-35,7,B,3,0
995,1000170,M,26-35,11,C,1,1
997,1000171,F,51-55,17,B,1,1
998,1000172,M,26-35,3,C,2,0
999,1000173,M,26-35,0,B,1,1
1026,1000174,M,26-35,16,C,2,0
1033,1000175,F,26-35,2,B,1,0
1046,1000176,F,18-25,3,C,1,0
1047,1000177,M,51-55,1,B,3,1
1051,1000178,M,55+,17,A,2,1
1055,1000179,M,26-35,0,A,1,0
1057,1000180,M,46-50,12,C,4,0
1059,1000181,M,18-25,17,C,1,0
1072,1000182,M,18-25,4,C,0,0
1078,1000183,F,46-50,1,B,1,1
1085,1000184,F,26-35,0,C,4,1
1089,1000185,M,46-50,0,C,0,0
1092,1000186,M,18-25,5,C,0,0
1095,1000187,F,46-50,1,B,1,0
1116,1000188,M,55+,16,C,2,0
1120,1000190,M,26-35,17,A,1,0
1124,1000191,M,18-25,4,C,1,1
1125,1000192,M,18-25,1,B,2,0
1141,1000193,F,46-50,15,C,1,1
1150,1000194,F,0-17,10,C,3,0
1152,1000195,M,26-35,12,B,4,1
1187,1000196,F,36-45,9,C,4,0
1192,1000197,M,18-25,14,A,3,0
1193,1000198,M,26-35,12,A,0,1
1212,1000199,M,18-25,4,B,1,0
1228,1000200,F,18-25,4,C,0,0
1229,1000201,F,36-45,2,A,1,0
1234,1000202,M,18-25,4,A,3,0
1267,1000203,F,18-25,4,B,1,1
1270,1000204,M,26-35,7,B,1,1
1286,1000205,M,36-45,12,A,1,0
1295,1000206,M,26-35,17,C,1,0
1297,1000208,M,36-45,17,C,1,1
1303,1000209,M,36-45,1,B,4,0
1304,1000210,F,0-17,10,C,0,0
1307,1000211,M,46-50,17,C,1,1
1310,1000212,M,26-35,16,C,3,0
1315,1000214,M,18-25,20,C,1,0
1321,1000215,M,36-45,14,C,1,1
1323,1000216,M,46-50,13,B,1,0
1360,1000217,M,18-25,4,A,1,0
1361,1000218,M,36-45,14,C,3,1
1364,1000219,F,26-35,4,A,0,0
1366,1000220,M,26-35,12,A,3,0
1369,1000221,F,26-35,0,B,2,1
1370,1000222,M,26-35,1,A,1,0
1373,1000223,M,26-35,17,B,4,0
1382,1000225,M,26-35,7,A,0,0
1403,1000227,M,36-45,20,B,0,0
1405,1000228,M,26-35,15,A,1,0
1406,1000229,M,18-25,10,C,1,0
1417,1000230,M,46-50,1,C,1,0
1426,1000231,M,26-35,3,A,1,0
1430,1000232,M,26-35,20,A,1,1
1434,1000233,F,46-50,20,C,2,1
1436,1000234,M,36-45,7,C,2,0
1438,1000235,M,26-35,0,B,0,0
1457,1000236,M,26-35,5,B,2,0
1459,1000237,M,26-35,6,C,1,1
1467,1000238,F,51-55,7,B,0,0
1481,1000239,M,18-25,19,A,1,0
1486,1000240,M,51-55,17,A,1,1
1490,1000242,F,18-25,4,A,3,0
1501,1000243,M,26-35,16,C,1,0
1503,1000244,M,51-55,7,B,3,1
1507,1000245,M,36-45,16,B,0,0
1552,1000246,F,18-25,4,C,1,0
1553,1000249,F,18-25,14,C,2,0
1557,1000250,M,36-45,16,C,1,0
1559,1000251,M,55+,17,A,0,1
1561,1000252,M,26-35,12,C,3,0
1565,1000253,F,26-35,11,C,1,0
1566,1000254,M,36-45,17,C,4,0
1567,1000255,M,36-45,0,C,1,1
1583,1000256,M,46-50,16,C,3,0
1585,1000257,M,18-25,18,A,1,0
1589,1000258,M,26-35,7,C,0,1
1592,1000259,M,26-35,1,B,4,0
1599,1000260,M,18-25,19,C,1,0
1611,1000261,M,26-35,20,A,4,0
1627,1000262,F,26-35,1,C,1,0
1635,1000263,F,26-35,7,C,1,0
1640,1000264,M,36-45,0,B,1,1
1652,1000265,F,36-45,7,A,4,1
1654,1000266,M,36-45,11,C,3,0
1658,1000267,M,46-50,12,C,1,1
1665,1000268,F,18-25,12,C,1,0
1679,1000269,M,26-35,2,A,1,1
1681,1000270,M,51-55,14,B,2,1
1684,1000271,M,18-25,4,C,1,0
1699,1000272,M,18-25,0,A,1,0
1720,1000273,M,18-25,4,B,2,1
1724,1000274,M,18-25,4,A,4,0
1727,1000275,M,26-35,0,C,3,1
