,Product_ID,Product_Category,price$,storeID,supplierID,storeName,supplierName
0,P00069042,Home & Kitchen,77.51,2,13,Tech Haven,Samsung Electronics
1,P00248942,Grocery,9.63,6,9,Photo World,Canon Inc.
2,P00087842,Pets,31.66,4,18,Game Zone,Razer Inc.
3,P00085442,Pets,23.32,1,16,Electro Mart,Sony Corporation
4,P00285442,Toys,34.71,3,39,Sound Zone,Sonos Inc.
5,P00193542,Grocery,33.18,2,13,Tech Haven,Samsung Electronics
6,P00184942,Grocery,66.86,3,39,Sound Zone,Sonos Inc.
7,P00346142,Grocery,29.35,4,18,Game Zone,Razer Inc.
8,P0097242,Grocery,37.35,6,9,Photo World,Canon Inc.
9,P00274942,Toys,40.71,4,18,Game Zone,Razer Inc.
10,P00251242,Health & Beauty,54.15,5,18,InnoTech,Razer Inc.
11,P00014542,Toys,65.81,4,18,Game Zone,Razer Inc.
12,P00031342,Toys,65.28,3,39,Sound Zone,Sonos Inc.
13,P00145042,Grocery,17.34,6,9,Photo World,Canon Inc.
14,P00231342,Health & Beauty,71.01,2,13,Tech Haven,Samsung Electronics
15,P00190242,Clothing,20.35,4,18,Game Zone,Razer Inc.
16,P0096642,Electronics,25.08,2,13,Tech Haven,Samsung Electronics
17,P00058442,Health & Beauty,69.95,7,17,Health Zone,Garmin Ltd.
18,P00036842,Grocery,8.98,2,13,Tech Haven,Samsung Electronics
19,P00249542,Grocery,73.13,7,17,Health Zone,Garmin Ltd.
20,P00220442,Health & Beauty,72.12,1,16,Electro Mart,Sony Corporation
21,P00156442,Toys,30.07,6,9,Photo World,Canon Inc.
22,P00213742,Toys,78.76,3,39,Sound Zone,Sonos Inc.
23,P00214442,Toys,15.31,3,39,Sound Zone,Sonos Inc.
24,P00303442,Grocery,39.73,5,18,InnoTech,Razer Inc.
25,P00135742,Household Essentials,54.45,3,39,Sound Zone,Sonos Inc.
26,P00039942,Toys,56.84,2,13,Tech Haven,Samsung Electronics
27,P00161442,Health & Beauty,51.92,5,18,InnoTech,Razer Inc.
28,P00078742,Health & Beauty,76.89,3,39,Sound Zone,Sonos Inc.
29,P00085942,Electronics,58.0,1,16,Electro Mart,Sony Corporation
30,P00118742,Health & Beauty,50.73,4,18,Game Zone,Razer Inc.
31,P00297942,Toys,7.21,5,18,InnoTech,Razer Inc.
32,P00266842,Health & Beauty,56.26,3,39,Sound Zone,Sonos Inc.
33,P00058342,Home & Kitchen,69.13,1,16,Electro Mart,Sony Corporation
34,P00032442,Health & Beauty,52.14,4,18,Game Zone,Razer Inc.
35,P00105942,Health & Beauty,16.68,1,16,Electro Mart,Sony Corporation
36,P00182642,Electronics,18.36,3,39,Sound Zone,Sonos Inc.
37,P00186942,Health & Beauty,54.81,3,39,Sound Zone,Sonos Inc.
38,P00155442,Grocery,32.98,2,13,Tech Haven,Samsung Electronics
39,P00221342,Grocery,30.85,51,51,Pakistan,Pakistan
40,P00087242,Appliances,28.32,4,18,Game Zone,Razer Inc.
41,P00111142,Grocery,36.45,6,9,Photo World,Canon Inc.
42,P00259342,Health & Beauty,2.74,5,18,InnoTech,Razer Inc.
43,P0094542,Electronics,17.63,7,17,Health Zone,Garmin Ltd.
44,P00148642,Household Essentials,20.65,5,18,InnoTech,Razer Inc.
45,P00312142,Toys,23.68,5,18,InnoTech,Razer Inc.
46,P00113242,Grocery,45.37,3,39,Sound Zone,Sonos Inc.
47,P00192642,Toys,33.79,3,39,Sound Zone,Sonos Inc.
48,P00110842,Grocery,71.86,4,18,Game Zone,Razer Inc.
49,P00189642,Toys,76.82,1,16,Electro Mart,Sony Corporation
50,P00304242,Grocery,71.74,4,18,Game Zone,Razer Inc.
51,P00365242,Health & Beauty,2.14,7,17,Health Zone,Garmin Ltd.
52,P00129542,Toys,27.11,2,13,Tech Haven,Samsung Electronics
53,P00140742,Grocery,30.79,4,18,Game Zone,Razer Inc.
54,P00182342,Grocery,60.65,6,9,Photo World,Canon Inc.
55,P00276642,Toys,16.19,2,13,Tech Haven,Samsung Electronics
56,P00334242,Grocery,24.53,3,39,Sound Zone,Sonos Inc.
57,P00247542,Toys,8.79,1,16,Electro Mart,Sony Corporation
58,P00338442,Grocery,4.35,1,16,Electro Mart,Sony Corporation
59,P00275142,Health & Beauty,72.46,4,18,Game Zone,Razer Inc.
60,P00333042,Health & Beauty,74.1,1,16,Electro Mart,Sony Corporation
61,P00166242,Toys,61.42,4,18,Game Zone,Razer Inc.
62,P00161942,Health & Beauty,47.33,5,18,InnoTech,Razer Inc.
63,P00348242,Toys,73.81,3,39,Sound Zone,Sonos Inc.
64,P00042142,Grocery,32.73,2,13,Tech Haven,Samsung Electronics
65,P00244242,Grocery,77.22,6,9,Photo World,Canon Inc.
66,P00217742,Health & Beauty,17.31,4,18,Game Zone,Razer Inc.
67,P00019342,Grocery,65.73,1,16,Electro Mart,Sony Corporation
68,P00100642,Health & Beauty,62.36,3,39,Sound Zone,Sonos Inc.
69,P00073842,Grocery,46.32,2,13,Tech Haven,Samsung Electronics
70,P00366542,Health & Beauty,76.4,3,39,Sound Zone,Sonos Inc.
71,P00190742,Home & Kitchen,51.75,4,18,Game Zone,Razer Inc.
72,P00151842,Clothing,7.84,6,9,Photo World,Canon Inc.
73,P00112642,Grocery,46.93,4,18,Game Zone,Razer Inc.
74,P00118442,Grocery,23.51,5,18,InnoTech,Razer Inc.
75,P00034442,Grocery,74.55,4,18,Game Zone,Razer Inc.
76,P00222242,Grocery,12.4,3,39,Sound Zone,Sonos Inc.
77,P00118342,Electronics,39.62,6,9,Photo World,Canon Inc.
78,P00324742,Electronics,33.6,2,13,Tech Haven,Samsung Electronics
79,P00190042,Home & Kitchen,26.51,4,18,Game Zone,Razer Inc.
80,P0094142,Clothing,51.07,2,13,Tech Haven,Samsung Electronics
81,P00138542,Health & Beauty,36.87,7,17,Health Zone,Garmin Ltd.
82,P00158542,Health & Beauty,24.02,2,13,Tech Haven,Samsung Electronics
83,P00157542,Toys,53.34,7,17,Health Zone,Garmin Ltd.
84,P00044142,Toys,45.12,1,16,Electro Mart,Sony Corporation
85,P00112542,Grocery,60.93,6,9,Photo World,Canon Inc.
86,P00339542,Grocery,44.02,3,39,Sound Zone,Sonos Inc.
87,P00127842,Grocery,65.76,3,39,Sound Zone,Sonos Inc.
88,P00125942,Grocery,37.31,5,18,InnoTech,Razer Inc.
89,P00251342,Health & Beauty,37.61,3,39,Sound Zone,Sonos Inc.
90,P00249642,Home & Kitchen,40.09,2,13,Tech Haven,Samsung Electronics
91,P00124842,Patio & Garden,39.23,5,18,InnoTech,Razer Inc.
92,P00250642,Patio & Garden,8.21,3,39,Sound Zone,Sonos Inc.
93,P00058142,Home & Kitchen,40.29,1,16,Electro Mart,Sony Corporation
94,P00117442,Health & Beauty,8.46,4,18,Game Zone,Razer Inc.
95,P00251642,Grocery,17.83,5,18,InnoTech,Razer Inc.
96,P00244842,Patio & Garden,69.11,3,39,Sound Zone,Sonos Inc.
97,P00220242,Home & Kitchen,73.37,1,16,Electro Mart,Sony Corporation
98,P00351142,Grocery,73.26,4,18,Game Zone,Razer Inc.
99,P00213242,Health & Beauty,62.23,1,16,Electro Mart,Sony Corporation
100,P00195942,Home & Kitchen,39.94,3,39,Sound Zone,Sonos Inc.
101,P00115642,Toys,79.9,3,39,Sound Zone,Sonos Inc.
102,P0098242,Grocery,63.35,2,13,Tech Haven,Samsung Electronics
103,P00262242,Grocery,8.93,51,51,Pakistan,Pakistan
104,P00258742,Health & Beauty,58.84,4,18,Game Zone,Razer Inc.
105,P00218242,Health & Beauty,32.23,6,9,Photo World,Canon Inc.
106,P00021742,Health & Beauty,60.01,5,18,InnoTech,Razer Inc.
107,P00313042,Health & Beauty,22.65,7,17,Health Zone,Garmin Ltd.
108,P00133742,Health & Beauty,65.28,5,18,InnoTech,Razer Inc.
109,P00077042,Health & Beauty,11.97,5,18,InnoTech,Razer Inc.
110,P00280542,Patio & Garden,77.41,3,39,Sound Zone,Sonos Inc.
111,P00225842,Electronics,22.92,3,39,Sound Zone,Sonos Inc.
112,P00278942,Grocery,12.54,4,18,Game Zone,Razer Inc.
113,P00004742,Household Essentials,66.26,1,16,Electro Mart,Sony Corporation
114,P00198042,Patio & Garden,63.05,4,18,Game Zone,Razer Inc.
115,P00177442,Grocery,66.29,7,17,Health Zone,Garmin Ltd.
116,P00000642,Grocery,32.82,2,13,Tech Haven,Samsung Electronics
117,P00288942,Grocery,26.1,4,18,Game Zone,Razer Inc.
118,P00270942,Grocery,33.77,6,9,Photo World,Canon Inc.
119,P00345842,Electronics,64.95,2,13,Tech Haven,Samsung Electronics
120,P00032042,Grocery,60.69,3,39,Sound Zone,Sonos Inc.
122,P00112342,Furniture,79.74,1,16,Electro Mart,Sony Corporation
123,P00031842,Grocery,29.73,1,16,Electro Mart,Sony Corporation
124,P00346642,Toys,69.02,4,18,Game Zone,Razer Inc.
125,P00205642,Health & Beauty,17.75,1,16,Electro Mart,Sony Corporation
127,P00206442,Grocery,52.65,4,18,Game Zone,Razer Inc.
128,P00046742,Grocery,20.69,5,18,InnoTech,Razer Inc.
129,P00120042,Grocery,51.01,3,39,Sound Zone,Sonos Inc.
130,P00043242,Health & Beauty,36.09,2,13,Tech Haven,Samsung Electronics
131,P00057242,Health & Beauty,64.85,6,9,Photo World,Canon Inc.
132,P00022842,Health & Beauty,68.18,4,18,Game Zone,Razer Inc.
133,P00252042,Health & Beauty,4.12,1,16,Electro Mart,Sony Corporation
134,P00042242,Health & Beauty,13.24,3,39,Sound Zone,Sonos Inc.
135,P00059542,Electronics,68.55,2,13,Tech Haven,Samsung Electronics
137,P00021242,Toys,42.34,3,39,Sound Zone,Sonos Inc.
138,P00023042,Health & Beauty,53.6,4,18,Game Zone,Razer Inc.
139,P00144242,Health & Beauty,66.84,6,9,Photo World,Canon Inc.
140,P00101342,Household Essentials,60.19,4,18,Game Zone,Razer Inc.
141,P00289342,Health & Beauty,71.19,5,18,InnoTech,Razer Inc.
142,P00281742,Health & Beauty,34.81,4,18,Game Zone,Razer Inc.
143,P00266642,Grocery,31.22,3,39,Sound Zone,Sonos Inc.
144,P00323742,Toys,10.96,6,9,Photo World,Canon Inc.
145,P00116342,Electronics,15.39,2,13,Tech Haven,Samsung Electronics
146,P00117142,Electronics,17.01,4,18,Game Zone,Razer Inc.
147,P00084442,Furniture,50.66,2,13,Tech Haven,Samsung Electronics
148,P00331542,Health & Beauty,74.2,7,17,Health Zone,Garmin Ltd.
150,P00178942,Health & Beauty,76.09,2,13,Tech Haven,Samsung Electronics
151,P00026042,Toys,51.76,7,17,Health Zone,Garmin Ltd.
152,P00233542,Grocery,61.08,1,16,Electro Mart,Sony Corporation
153,P00127242,Grocery,42.46,6,9,Photo World,Canon Inc.
154,P00349942,Grocery,18.01,3,39,Sound Zone,Sonos Inc.
155,P00303342,Grocery,31.16,3,39,Sound Zone,Sonos Inc.
156,P00051442,Toys,53.72,5,18,InnoTech,Razer Inc.
